iter	Passed	Remaining
0	152	45476
1	160	23850
2	169	16773
3	176	13060
4	185	10916
5	192	9428
6	201	8420
7	208	7616
8	217	7029
9	225	6553
10	234	6164
11	242	5821
12	250	5535
13	257	5270
14	267	5079
15	275	4884
16	283	4717
17	290	4551
18	299	4423
19	306	4285
20	313	4164
21	320	4055
22	328	3956
23	336	3865
24	344	3786
25	351	3709
26	358	3627
27	365	3555
28	373	3489
29	381	3433
30	389	3378
31	398	3334
32	406	3285
33	414	3239
34	421	3188
35	429	3148
36	437	3108
37	445	3069
38	451	3024
39	460	2994
40	468	2957
41	476	2929
42	483	2892
43	491	2857
44	499	2828
45	506	2794
46	514	2766
47	521	2738
48	529	2710
49	536	2681
50	544	2656
51	551	2629
52	557	2599
53	564	2569
54	570	2542
55	578	2520
56	585	2495
57	594	2478
58	602	2459
59	608	2435
60	616	2417
61	625	2400
62	633	2381
63	642	2367
64	649	2348
65	657	2331
66	664	2310
67	671	2291
68	677	2268
69	684	2250
70	693	2235
71	700	2219
72	708	2204
73	716	2188
74	724	2174
75	732	2160
76	741	2146
77	748	2130
78	756	2117
79	765	2104
80	773	2091
81	780	2075
82	790	2066
83	798	2054
84	807	2042
85	814	2025
86	821	2012
87	829	1997
88	837	1985
89	845	1971
90	851	1956
91	858	1941
92	865	1927
93	873	1915
94	881	1902
95	889	1889
96	896	1875
97	904	1863
98	911	1849
99	918	1836
100	925	1822
101	932	1810
102	941	1800
103	949	1788
104	956	1777
105	964	1765
106	971	1751
107	980	1742
108	987	1730
109	995	1720
110	1004	1709
111	1012	1699
112	1020	1688
113	1027	1676
114	1035	1666
115	1043	1655
116	1051	1645
117	1058	1633
118	1066	1622
119	1074	1611
120	1081	1599
121	1088	1587
122	1095	1576
123	1102	1564
124	1109	1552
125	1116	1542
126	1123	1530
127	1131	1519
128	1138	1509
129	1145	1497
130	1152	1486
131	1158	1474
132	1167	1466
133	1175	1456
134	1182	1445
135	1189	1434
136	1197	1425
137	1204	1414
138	1212	1404
139	1219	1393
140	1227	1384
141	1236	1375
142	1244	1366
143	1251	1355
144	1258	1345
145	1265	1334
146	1272	1324
147	1279	1314
148	1286	1303
149	1293	1293
150	1300	1283
151	1307	1273
152	1314	1262
153	1320	1252
154	1328	1242
155	1335	1232
156	1342	1222
157	1349	1212
158	1356	1202
159	1364	1193
160	1371	1184
161	1378	1174
162	1385	1164
163	1393	1155
164	1399	1145
165	1406	1135
166	1413	1125
167	1421	1116
168	1428	1107
169	1435	1097
170	1443	1089
171	1450	1079
172	1458	1070
173	1465	1061
174	1472	1052
175	1480	1042
176	1488	1034
177	1495	1025
178	1503	1016
179	1510	1007
180	1518	998
181	1526	989
182	1533	980
183	1541	971
184	1548	962
185	1556	954
186	1563	944
187	1572	936
188	1580	927
189	1588	919
190	1595	910
191	1603	901
192	1610	893
193	1618	884
194	1625	875
195	1633	866
196	1641	858
197	1648	849
198	1657	841
199	1664	832
200	1673	824
201	1680	815
202	1689	807
203	1696	798
204	1704	789
205	1711	781
206	1719	772
207	1727	764
208	1734	755
209	1741	746
210	1748	737
211	1756	729
212	1764	720
213	1772	712
214	1779	703
215	1786	694
216	1794	686
217	1801	677
218	1808	668
219	1815	660
220	1822	651
221	1829	642
222	1836	634
223	1843	625
224	1851	617
225	1858	608
226	1865	599
227	1871	591
228	1878	582
229	1886	574
230	1894	566
231	1903	558
232	1910	549
233	1919	541
234	1927	533
235	1936	525
236	1944	516
237	1952	508
238	1959	500
239	1966	491
240	1974	483
241	1982	475
242	1989	466
243	1997	458
244	2004	449
245	2011	441
246	2019	433
247	2026	424
248	2034	416
249	2041	408
250	2049	400
251	2055	391
252	2062	383
253	2070	375
254	2078	366
255	2086	358
256	2095	350
257	2103	342
258	2111	334
259	2117	325
260	2125	317
261	2132	309
262	2140	301
263	2148	292
264	2156	284
265	2163	276
266	2169	268
267	2177	259
268	2183	251
269	2191	243
270	2198	235
271	2205	227
272	2212	218
273	2218	210
274	2226	202
275	2233	194
276	2240	186
277	2247	177
278	2254	169
279	2261	161
280	2267	153
281	2275	145
282	2281	137
283	2288	128
284	2295	120
285	2303	112
286	2310	104
287	2318	96
288	2325	88
289	2333	80
290	2342	72
291	2348	64
292	2356	56
293	2363	48
294	2371	40
295	2379	32
296	2387	24
297	2394	16
298	2400	8
299	2408	0
