code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,psychological_risk,total_clicks,avg_score,active_days,engagement_variability,inactivity_days,engagement_slope,assessment_consistency,persona_cluster,persona,attention_score,confusion_score,boredom_score,cognitive_overload_score,stability_score,intervention_style
AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,0,934.0,82.0,40.0,7.591224380698818,218.0,-0.057780437257363,3.082207001484488,3,Passive Watcher,37.58901,62.41099,12.5,67.5,54.16592853976706,Interactive participation encouragement
AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,0,1435.0,66.4,80.0,3.634240381367696,169.0,-0.0593097376631807,4.335896677735761,3,Passive Watcher,46.333366,53.666634,23.07692307692308,53.84615384615385,62.95099059082615,Interactive participation encouragement
AAA,2013J,30268,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,1,281.0,0.0,12.0,4.056335741666709,10.0,0.9466700050075112,0.0,0,Silent Isolator,40.656883,59.343117,25.0,79.16666666666667,52.47796019722221,Social engagement support
AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,0,2158.0,76.0,123.0,3.19457659010888,151.0,-0.0273498175843152,6.8920243760451125,3,Passive Watcher,60.307728,39.692272,0.0,72.72727272727273,61.46195956087279,Interactive participation encouragement
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,0,1034.0,54.4,70.0,3.2618947354194723,187.0,-0.0663912837097067,20.51341024793293,5,Last-Minute Survivor,80.57622,19.423784,2.0,20.0,85.77144042152685,Deadline management coaching
AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,0,2445.0,68.0,143.0,3.1316096867463847,134.0,-0.0175749258485882,10.977249200050077,5,Last-Minute Survivor,94.37303,5.626967,22.0,49.0,80.74714110441788,Deadline management coaching
AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,0,1492.0,68.0,90.0,5.8646208192334,187.0,-0.0533740179211654,4.949747468305833,2,Anxiety-Spike Learner,93.798454,6.2015457,52.0,102.0,61.977944493588865,Guided pacing and stress reduction
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,0,1428.0,72.4,105.0,3.17885965478643,168.0,-0.0252701772427628,0.5477225575051652,5,Last-Minute Survivor,91.64927,8.350732,10.526315789473683,50.0,79.4901361150712,Deadline management coaching
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,0,1894.0,71.4,122.0,3.2654772179868847,127.0,-0.0014281290134628,2.6076809620810586,2,Anxiety-Spike Learner,57.393394,42.6066,14.000000000000002,53.0,67.04264092733771,Guided pacing and stress reduction
AAA,2013J,53025,M,North Region,Post Graduate Qualification,,55<=,0,60,N,Pass,0,3158.0,78.0,142.0,3.493699466992002,122.0,-0.0285133267505037,4.062019202317981,4,Consistent Learner,73.59293,26.40706,7.6923076923076925,42.30769230769231,75.93051607510523,Advanced learning opportunities
AAA,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,0,1319.0,74.0,90.0,4.020462333907471,163.0,-0.0326871994124561,5.656854249492381,5,Last-Minute Survivor,93.91919,6.0808125,10.0,47.0,80.96624172203084,Deadline management coaching
AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,0,1732.0,73.2,120.0,3.2481240146182886,146.0,-0.042632121701138,3.5637059362410923,5,Last-Minute Survivor,87.76824,12.231755,5.555555555555555,36.11111111111112,82.80300329142354,Deadline management coaching
AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,0,1102.0,78.6,61.0,3.815508593989213,194.0,-0.0715734625177124,9.864076236526156,5,Last-Minute Survivor,75.64556,24.35444,16.666666666666664,50.0,73.94335046867026,Deadline management coaching
AAA,2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,0,3388.0,76.0,148.0,2.975604835346528,127.0,-0.0232190038217658,5.6568542494923815,2,Anxiety-Spike Learner,63.282383,36.71762,27.27272727272727,90.9090909090909,56.465894751854194,Guided pacing and stress reduction
AAA,2013J,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,0,2737.0,71.6,175.0,4.254765395347589,103.0,-0.0644712843577918,16.742162345408076,4,Consistent Learner,92.40427,7.59573,10.0,44.0,81.3831682015508,Advanced learning opportunities
AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,1,176.0,67.0,13.0,3.0773576116743198,212.0,-0.0570432956227027,1.1547005383792517,5,Last-Minute Survivor,91.08155,8.918447,0.0,48.837209302325576,79.72232869533337,Deadline management coaching
AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,0,1053.0,55.6,46.0,5.37431053934495,212.0,-0.009941751321075,9.864076236526156,5,Last-Minute Survivor,95.68205,4.317944,5.263157894736842,44.73684210526315,81.85696778513064,Deadline management coaching
AAA,2013J,71361,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,0,2327.0,80.4,135.0,3.1676908121766605,118.0,-0.0859819880255695,4.39317652729776,5,Last-Minute Survivor,82.14356,17.856436,0.0,17.0,87.32529106260777,Deadline management coaching
AAA,2013J,74372,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,Fail,1,116.0,48.5,14.0,1.4097802801091608,204.0,-0.0188798112914072,21.641010450839243,5,Last-Minute Survivor,65.40191,34.598087,12.0,43.0,73.66404423996362,Deadline management coaching
AAA,2013J,75091,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,0,2992.0,66.0,122.0,4.488917454432629,142.0,-0.0580253224934072,1.0000000000000004,2,Anxiety-Spike Learner,74.55315,25.446854,24.0,55.00000000000001,71.68807618185579,Guided pacing and stress reduction
AAA,2013J,77367,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,0,680.0,70.4,86.0,2.35994894582989,174.0,-0.0255606420823718,4.82700735445887,3,Passive Watcher,22.185236,77.814766,16.666666666666664,63.33333333333333,52.16398390694559,Interactive participation encouragement
AAA,2013J,91265,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass,0,1494.0,70.8,125.0,2.637693903774617,142.0,-0.0439819215144136,7.758865896508328,2,Anxiety-Spike Learner,84.28466,15.715344,27.27272727272727,68.18181818181819,71.15504797146906,Guided pacing and stress reduction
AAA,2013J,94961,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn,1,1240.0,65.33333333333333,93.0,2.942032032642073,196.0,-0.0780102122943898,8.115828156551045,5,Last-Minute Survivor,73.98205,26.017952,9.090909090909092,45.45454545454546,75.19515683760416,Deadline management coaching
AAA,2013J,98094,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,0,2839.0,60.6,91.0,9.677444071663642,183.0,-0.1140044874880765,1.51657508881031,2,Anxiety-Spike Learner,80.38277,19.617228,30.0,75.0,65.23510930944545,Guided pacing and stress reduction
AAA,2013J,100893,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,0,744.0,68.4,52.0,3.42455527309575,207.0,0.0091156006616512,4.27784992724149,5,Last-Minute Survivor,82.19339,17.806608,5.555555555555555,61.11111111111112,72.55257520526438,Deadline management coaching
AAA,2013J,101781,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,0,4104.0,72.6,144.0,5.561086980036472,134.0,-0.1108358030534541,7.987490219086344,4,Consistent Learner,72.36471,27.635294,6.0,55.00000000000001,70.60120633998784,Advanced learning opportunities
