iter	Passed	Remaining
0	192	57472
1	221	33069
2	253	25080
3	277	20508
4	302	17849
5	324	15901
6	350	14658
7	385	14065
8	428	13854
9	458	13286
10	499	13128
11	525	12622
12	562	12414
13	591	12086
14	623	11855
15	654	11625
16	679	11305
17	707	11081
18	734	10855
19	757	10611
20	788	10477
21	823	10404222	872	10502223	908	10442224	938	10323225	966	10182626	995	10027	27	1028	9928	28	1071	1029	29	1111	10006
30	1152	10004331	1181	989632	1214	9822
33	1244	9735
34	1280	9694
35	1313	9632
36	1342	937	1337	1367	38	138	1393	939	1339	1421	40	1440	1454	41	1441	1481	42	1442	1516	43	1543	1545	44	1560	8840
45	1587	8763
46	1618	8710
47	1652	8673
48	1648	1687	49	1749	1722	50	1750	1754	51	1751	1790	52	1814	8456
53	1842	8392
54	1868	8322
55	1902	8289
56	1945	8292
57	1981	8266
58	2024	8270
59	2063	8255
60	2097	8216
61	2137	8203
62	2172	8171
63	2216	8174
64	2257	8160
65	2288	8114
66	2318	8063
67	2347	8008
68	2378	7964
69	2404	7901
70	2439	7869
71	2468	7817
72	2501	7777
73	2530	7729
74	2555	7665
75	2589	7631
76	2613	7568
77	2630	7488
78	2648	7409
79	2665	7329
80	2703	7309
81	2733	7268
82	2758	7211
83	2782	7153
84	2808	7103
85	2861	7121
86	2887	7068
87	2909	7009
88	2941	6973
89	2964	6918
90	2990	6869
91	3017	6821
92	3040	6768
93	3072	6733
94	3103	6696
95	3141	6674
96	3159	6612
97	3176	6547
98	3199	3214	99	39100	3237100	10101	3260101	10102	3289	62910103	3320	62510104	3351	62210105	3385	61910106	3425	61710107	3455	61410108	3481	61010109	3515	60710110	3558	6059
111	3586	60111112	3615	59811113	3646	59411114	3695	59411115	3729	59111116	3761	58811117	3793	58511118	3822	58111119	3854	57811120	3900	57612121	3930	57312122	3971	57112123	4002	56812124	4031	56412125	4059	56012126	4090	55712127	4132	55512128	4164	55212129	4201	54912130	4234	54613131	4267	54313132	4295	53913133	4323	53513134	4351	53113135	4382	52813136	4412	52413137	4442	52113138	4471	51713139	4497	51313140	4527	51014141	4560	50714142	4591	50414143	4631	50114144	4683	50014145	4709	49614146	4731	492146	4758	4952
14148	4840	490148	4857	4923
149	4886	4886
150	4910	4845
151	4944	4814
152	4971	4776
153	4994	4734
154	5021	4697
155	5056	4667
156	5091	4637
157	5125	4606
158	5160	4576
159	5194	4545
160	5221	4508
161	5248	4470
162	5277	4435
163	5305	4399
164	5334	4364
165	5360	4326
166	5391	4293
167	5413	4253
168	5444	4219
169	5474	4186
170	5514	4159
171	5541	4123
172	5567	4087
173	5597	4053
174	5624	4017
175	5645	3977
176	5671	3941
177	5702	3908
178	5736	3877
179	5765	3843
180	5798	3812
181	5827	3778
182	5851	3741
183	5877	3705
184	5909	3673
185	5937	3639
186	5971	3608
187	5999	3574
188	6024	3538
189	6049	3502
190	6079	3469
191	6103	3433
192	6135	3401
193	6162	3367
194	6190	3333
195	6227	3304
196	6264	3275
197	6293	3242
198	6320	3208
199	6362	3181
200	6392	3148
201	6422	3115
202	6453	3083
203	6490	3054
204	6518	3020
205	6541	2984
206	6576	2954
207	6613	2925
208	6645	2893
209	6672	2859
210	6701	2826
211	6727	2792
212	6760	2761
213	6796	2731
214	6820	2696
215	6848	2663
216	6885	2633
217	6925	2605
218	6956	2573
219	6994	2543
220	7027	2511
221	7057	2479
222	7088	2447
223	7116	2414
224	7130	2376
225	7147	2340
226	7163	2303
227	7179	2267
228	7193	2230
22230	7237	21623231	7262	21223232	7292	20923233	7318	20623234	7345	20323235	7370	19923236	7416	19723237	7447	19423238	7479	1908
239	7515	1878
240	7546	1847
241	7576	1815
242	7603	1783
243	7629	1751
244	7658	1719
245	7689	1687
246	7720	1656
247	7748	1624
248	7776	1592
249	7809	1561
250	7843	1531
251	7890	1503
252	7921	1471
253	7946	1439
254	7973	1407
255	8003	1375
256	8033	1344
257	8063	1312
258	8090	1280
259	8120	1249
260	8149	1217
261	8175	1185
262	8199	1153
263	8230	1122
264	8259	1090
265	8285	1059
266	8315266	82267	8333267	8317	993
268	8336	960
269	8362	929
270	8388	897
271	8410	865
272	8437	834
273	8464	803
274	8496	772
275	8520	740
276	8547	709
277	8574	678
278	8605	647
279	8628	616
280	8661	585
281	8682	554
282	8702	522
283	8717	491
284	8735	459
285	8751	428
286	8286	8813287	8287	8837288	8833	336
289	289	8864	290	290	8885	291	291	8907	292	8928	213
293	8955	182
294	8979	152
295	9005	121
296	296	9050297	297	9078	60
298	9090	30
299	9102	0

