code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,psychological_risk,total_clicks,avg_score,active_days,engagement_variability,inactivity_days,engagement_slope,assessment_consistency,persona_cluster,persona
AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,0,934.0,82.0,40.0,7.591224380698818,218.0,-0.05778043725736303,3.082207001484488,2,Anxiety-Spike Learner
AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,0,1435.0,66.4,80.0,3.634240381367696,169.0,-0.05930973766318079,4.335896677735761,2,Anxiety-Spike Learner
AAA,2013J,30268,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,1,281.0,0.0,12.0,4.056335741666709,10.0,0.9466700050075113,0.0,5,Passive Watcher
AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,0,2158.0,76.0,123.0,3.19457659010888,151.0,-0.027349817584315282,6.8920243760451125,2,Anxiety-Spike Learner
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,0,1034.0,54.4,70.0,3.2618947354194723,187.0,-0.06639128370970679,20.513410247932935,0,Last-Minute Survivor
AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,0,2445.0,68.0,143.0,3.1316096867463847,134.0,-0.017574925848588222,10.977249200050075,2,Anxiety-Spike Learner
AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,0,1492.0,68.0,90.0,5.8646208192334,187.0,-0.053374017921165445,4.949747468305833,2,Anxiety-Spike Learner
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,0,1428.0,72.4,105.0,3.17885965478643,168.0,-0.025270177242762846,0.5477225575051652,2,Anxiety-Spike Learner
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,0,1894.0,71.4,122.0,3.2654772179868847,127.0,-0.0014281290134628213,2.6076809620810586,2,Anxiety-Spike Learner
AAA,2013J,53025,M,North Region,Post Graduate Qualification,,55<=,0,60,N,Pass,0,3158.0,78.0,142.0,3.493699466992002,122.0,-0.02851332675050375,4.062019202317981,2,Anxiety-Spike Learner
AAA,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,0,1319.0,74.0,90.0,4.020462333907471,163.0,-0.03268719941245617,5.656854249492381,2,Anxiety-Spike Learner
AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,0,1732.0,73.2,120.0,3.2481240146182886,146.0,-0.042632121701138004,3.5637059362410923,2,Anxiety-Spike Learner
AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,0,1102.0,78.6,61.0,3.8155085939892124,194.0,-0.07157346251771247,9.864076236526156,0,Last-Minute Survivor
AAA,2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,0,3388.0,76.0,148.0,2.975604835346528,127.0,-0.023219003821765897,5.6568542494923815,2,Anxiety-Spike Learner
AAA,2013J,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,0,2737.0,71.6,175.0,4.254765395347589,103.0,-0.06447128435779181,16.742162345408076,2,Anxiety-Spike Learner
AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,1,176.0,67.0,13.0,3.0773576116743193,212.0,-0.05704329562270275,1.1547005383792515,0,Last-Minute Survivor
AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,0,1053.0,55.6,46.0,5.37431053934495,212.0,-0.009941751321075014,9.864076236526156,0,Last-Minute Survivor
AAA,2013J,71361,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,0,2327.0,80.4,135.0,3.1676908121766605,118.0,-0.08598198802556951,4.39317652729776,2,Anxiety-Spike Learner
AAA,2013J,74372,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,Fail,1,116.0,48.5,14.0,1.4097802801091608,204.0,-0.01887981129140729,21.641010450839243,0,Last-Minute Survivor
AAA,2013J,75091,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,0,2992.0,66.0,122.0,4.488917454432629,142.0,-0.0580253224934072,1.0000000000000004,2,Anxiety-Spike Learner
AAA,2013J,77367,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,0,680.0,70.4,86.0,2.35994894582989,174.0,-0.02556064208237182,4.82700735445887,2,Anxiety-Spike Learner
AAA,2013J,91265,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass,0,1494.0,70.8,125.0,2.637693903774617,142.0,-0.043981921514413616,7.758865896508328,2,Anxiety-Spike Learner
AAA,2013J,94961,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn,1,1240.0,65.33333333333333,93.0,2.9420320326420732,196.0,-0.0780102122943898,8.115828156551045,2,Anxiety-Spike Learner
AAA,2013J,98094,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,0,2839.0,60.6,91.0,9.677444071663642,183.0,-0.11400448748807657,1.51657508881031,2,Anxiety-Spike Learner
AAA,2013J,100893,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,0,744.0,68.4,52.0,3.42455527309575,207.0,0.009115600661651273,4.27784992724149,0,Last-Minute Survivor
AAA,2013J,101781,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,0,4104.0,72.6,144.0,5.561086980036472,134.0,-0.11083580305345411,7.987490219086344,2,Anxiety-Spike Learner
AAA,2013J,102806,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,0,1944.0,78.0,177.0,2.1504792222024074,100.0,-0.020406946261611835,10.677078252031311,2,Anxiety-Spike Learner
AAA,2013J,102952,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,0,1150.0,76.6,58.0,3.713609923605412,191.0,-0.06852043181264919,5.412947441089744,2,Anxiety-Spike Learner
AAA,2013J,104476,M,Ireland,Post Graduate Qualification,,35-55,0,60,N,Pass,0,4777.0,79.6,161.0,10.544281759696586,107.0,-0.05354332770293696,3.209361307176242,3,Anxiety-Spike Learner
AAA,2013J,106247,M,South Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn,1,465.0,60.0,33.0,3.9596867014886863,105.0,-0.20965969068335297,11.269427669584644,1,Burnout Pattern
AAA,2013J,106577,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,0,733.0,53.4,47.0,3.720843046150259,216.0,-0.05619837007780962,9.96493853468249,0,Last-Minute Survivor
AAA,2013J,110175,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass,0,998.0,63.4,70.0,3.261595710856658,182.0,0.0004344805768183962,6.580273550544841,2,Anxiety-Spike Learner
AAA,2013J,111717,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,0,2343.0,81.0,136.0,4.718380810309517,123.0,-0.06173907962673107,1.7320508075688772,2,Anxiety-Spike Learner
AAA,2013J,113295,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,0,3553.0,77.6,195.0,4.010960258816111,75.0,-0.061568221202394455,2.1908902300206634,3,Anxiety-Spike Learner
AAA,2013J,114017,F,North Region,Post Graduate Qualification,,35-55,0,60,N,Pass,0,757.0,71.8,50.0,3.9244320543223887,216.0,-0.0851060252967546,3.7682887362833544,0,Last-Minute Survivor
AAA,2013J,114999,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass,0,1358.0,72.8,120.0,2.8868621032648405,154.0,-0.030717884039322126,10.756393447619885,2,Anxiety-Spike Learner
AAA,2013J,116541,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass,0,1886.0,62.4,108.0,4.205671080570343,134.0,-0.04481847544197371,9.528903399657276,2,Anxiety-Spike Learner
AAA,2013J,116692,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,0,1108.0,74.2,98.0,3.4866229761807244,140.0,-0.0960511298850869,3.0331501776206204,2,Anxiety-Spike Learner
AAA,2013J,118983,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass,0,284.0,61.8,27.0,2.5820523362229255,251.0,-0.031435361682990264,10.256705123966467,0,Last-Minute Survivor
AAA,2013J,123044,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,0,2041.0,71.4,127.0,3.5690653680702096,130.0,-0.07243441034480418,2.607680962081061,2,Anxiety-Spike Learner
AAA,2013J,127582,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass,0,1321.0,69.6,89.0,4.165428200012517,161.0,-0.004150888507486263,3.577708763999661,2,Anxiety-Spike Learner
AAA,2013J,129955,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn,1,1888.0,81.0,110.0,4.0334689932919625,41.0,-0.019103270212586523,4.09878030638384,1,Burnout Pattern
AAA,2013J,132976,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass,0,520.0,67.4,32.0,3.322662133416623,220.0,-0.02735797513105471,5.770615218501402,0,Last-Minute Survivor
AAA,2013J,134143,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,0,2732.0,84.4,138.0,5.595923893061459,140.0,-0.05594990422464897,2.40831891575846,2,Anxiety-Spike Learner
AAA,2013J,135335,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,Withdrawn,1,73.0,0.0,14.0,1.4798106541691454,34.0,0.1255890669180019,0.0,5,Passive Watcher
AAA,2013J,135400,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,Withdrawn,1,610.0,53.142857142857146,43.0,4.034626735636948,201.0,-0.039638377538836166,9.788233947425033,0,Last-Minute Survivor
AAA,2013J,137873,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,0,5528.0,80.2,192.0,4.552387749828511,68.0,-0.03627844922918039,5.630275304103698,3,Anxiety-Spike Learner
AAA,2013J,141355,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass,0,1823.0,72.6,92.0,2.7765208489801494,173.0,-0.04941027576119841,2.880972058177588,2,Anxiety-Spike Learner
AAA,2013J,141377,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,Withdrawn,1,756.0,48.833333333333336,41.0,2.927405474348399,202.0,-0.00195474335989876,9.968283035040018,0,Last-Minute Survivor
AAA,2013J,142326,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,0,2121.0,73.6,95.0,3.7177430603976447,152.0,-0.01709472894727794,6.268971207462992,2,Anxiety-Spike Learner
AAA,2013J,144801,F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass,0,5645.0,68.8,200.0,3.341266324793647,77.0,-0.005304872569846396,7.758865896508329,3,Anxiety-Spike Learner
