student_id,attention_score,confusion_score,boredom_score,cognitive_overload_score,lstm_prediction,gru_prediction,cnn_prediction,ensemble_prediction,risk_category
2,37.58901,62.41099,12.5,67.5,0.4325028,0.8938113,0.54601574,0.6241099,Moderate Risk
3,46.333366,53.666634,23.076923076923077,53.84615384615385,0.30942115,0.76079506,0.5397829,0.53666633,Moderate Risk
4,40.656883,59.343117,25.0,79.16666666666667,0.9425324,0.83776116,4.885093e-13,0.5934312,Moderate Risk
6,60.307728,39.692272,0.0,72.72727272727273,0.25213772,0.4001532,0.5384772,0.3969227,Moderate Risk
9,80.57622,19.423784,2.0,20.0,0.029785598,0.028859379,0.5240686,0.19423784,Low Risk
11,94.37303,5.626967,22.0,49.0,0.06852784,0.10028117,0.0,0.05626967,Low Risk
13,93.798454,6.2015457,52.0,102.0,0.06959047,0.05882733,0.057628553,0.062015455,Low Risk
15,91.64927,8.350732,10.526315789473683,50.0,0.1789629,0.07155907,0.0,0.08350732,Low Risk
16,57.393394,42.6066,14.000000000000002,53.0,0.45777056,0.8204275,1.5061249e-19,0.426066,Moderate Risk
18,73.59293,26.40706,7.6923076923076925,42.30769230769231,0.19738612,0.14705993,0.44776574,0.2640706,Low Risk
21,93.91919,6.0808125,10.0,47.0,0.05329394,0.052352674,0.07677777,0.060808126,Low Risk
22,87.76824,12.231755,5.555555555555555,36.111111111111114,0.14017959,0.07549383,0.15127923,0.12231755,Low Risk
24,75.64556,24.35444,16.666666666666664,50.0,0.3140555,0.4165777,3.2751722e-12,0.2435444,Low Risk
25,63.282383,36.71762,27.27272727272727,90.9090909090909,0.39288837,0.3378061,0.37083414,0.3671762,Moderate Risk
26,92.40427,7.59573,10.0,44.0,0.014307195,0.017081868,0.19648284,0.0759573,Low Risk
27,91.08155,8.918447,0.0,48.837209302325576,0.14814723,0.119406156,5.3280874e-12,0.08918446,Low Risk
29,95.68205,4.317944,5.263157894736842,44.73684210526315,0.061240584,0.06825054,4.7200876e-05,0.04317944,Low Risk
31,82.14356,17.856436,0.0,17.0,0.27822623,0.24799909,0.009467693,0.17856435,Low Risk
33,65.40191,34.598087,12.0,43.0,0.055124074,0.16738392,0.81543463,0.34598088,Moderate Risk
34,74.55315,25.446854,24.0,55.00000000000001,0.13893606,0.3974717,0.22699787,0.25446853,Low Risk
36,22.185236,77.814766,16.666666666666664,63.33333333333333,0.93119377,0.94733995,0.4559091,0.77814764,High Risk
37,84.28466,15.715344,27.27272727272727,68.18181818181819,0.26777992,0.2036804,2.526238e-11,0.15715344,Low Risk
39,73.98205,26.017952,9.090909090909092,45.45454545454546,0.29192537,0.25894845,0.22966477,0.26017952,Low Risk
43,80.38277,19.617228,30.0,75.0,0.11615845,0.114585765,0.35777265,0.19617228,Low Risk
44,82.19339,17.806608,5.555555555555555,61.111111111111114,0.3080995,0.22609876,1.0710201e-14,0.17806609,Low Risk
45,72.36471,27.635294,6.0,55.00000000000001,0.4097595,0.4189281,0.00037128702,0.27635294,Low Risk
47,77.82451,22.175493,0.0,86.36363636363636,0.30030012,0.2038051,0.16115956,0.22175492,Low Risk
49,48.80639,51.19361,0.0,75.0,0.31365976,0.41599736,0.80615115,0.5119361,Moderate Risk
50,88.567154,11.432844,0.0,78.0,0.18783177,0.15515356,0.0,0.114328444,Low Risk
51,68.486145,31.513851,28.000000000000004,84.00000000000001,0.35888386,0.5850313,0.001500422,0.31513852,Moderate Risk
52,19.368172,80.63183,60.0,95.0,0.9724575,0.9813417,0.4651557,0.8063183,High Risk
53,81.41029,18.589706,10.0,64.99999999999999,0.23527585,0.15514852,0.16726682,0.18589707,Low Risk
54,86.64904,13.350959,11.11111111111111,44.44444444444444,0.21906559,0.16845849,0.0130046895,0.13350959,Low Risk
55,77.56513,22.434866,10.0,64.99999999999999,0.30954698,0.2037572,0.15974182,0.22434866,Low Risk
56,68.94492,31.055075,7.5,57.49999999999999,0.26379946,0.63772845,0.03012434,0.31055075,Moderate Risk
57,83.94047,16.059528,20.0,68.0,0.18108577,0.30070007,1.2126467e-13,0.16059528,Low Risk
59,97.828125,2.1718736,0.0,15.909090909090908,0.0018582031,0.005953041,0.057344966,0.021718735,Low Risk
60,97.0066,2.993401,0.0,13.0,0.03752036,0.019708129,0.032573532,0.02993401,Low Risk
61,72.278366,27.721632,0.0,75.75757575757575,0.1470255,0.2950968,0.38952664,0.27721632,Low Risk
62,87.808586,12.191413,0.0,52.94117647058824,0.17763616,0.12851049,0.059595734,0.121914126,Low Risk
65,18.68542,81.31458,13.333333333333334,80.0,0.9204515,0.9752892,0.5436967,0.8131458,High Risk
68,98.91221,1.0877895,0.0,45.16129032258065,0.010438869,0.009801053,0.012393761,0.010877895,Low Risk
69,84.5164,15.483594,16.129032258064516,46.7741935483871,0.32198307,0.14145172,0.0010730211,0.15483594,Low Risk
70,95.60271,4.3972993,2.0,47.0,0.06464283,0.03550428,0.031771865,0.043972995,Low Risk
71,84.900055,15.099949,4.761904761904762,50.0,0.2664926,0.15221496,0.0342909,0.15099949,Low Risk
72,93.578674,6.4213276,14.000000000000002,63.0,0.1306166,0.062023226,0.0,0.064213276,Low Risk
76,88.41686,11.583136,9.67741935483871,61.29032258064515,0.21577957,0.12283,0.008884504,0.11583135,Low Risk
77,96.91946,3.0805414,8.0,36.0,0.05689619,0.030060463,0.005459593,0.030805415,Low Risk
78,91.426796,8.573202,10.0,53.0,0.05935542,0.19766584,0.00017480749,0.08573202,Low Risk
